P11B_S7_bin.86.1_332	d0c786b24167085d1b78a26b0b485abd	620	SMART	SM00382	AAA_5	10	207	2.9E-9	T	23-07-2025	IPR003593	AAA+ ATPase domain
P11B_S7_bin.86.1_332	d0c786b24167085d1b78a26b0b485abd	620	SMART	SM00382	AAA_5	321	488	4.3E-13	T	23-07-2025	IPR003593	AAA+ ATPase domain
P11B_S7_bin.86.1_328	0d14a6cdc0476e538db81886d3f20539	870	SMART	SM00382	AAA_5	211	356	6.7E-12	T	23-07-2025	IPR003593	AAA+ ATPase domain
P11B_S7_bin.86.1_328	0d14a6cdc0476e538db81886d3f20539	870	SMART	SM00382	AAA_5	612	760	3.9E-11	T	23-07-2025	IPR003593	AAA+ ATPase domain
P11B_S7_bin.86.1_328	0d14a6cdc0476e538db81886d3f20539	870	Pfam	PF00004	ATPase family associated with various cellular activities (AAA)	216	349	1.0E-12	T	23-07-2025	IPR003959	ATPase, AAA-type, core
P11B_S7_bin.86.1_328	0d14a6cdc0476e538db81886d3f20539	870	Pfam	PF00004	ATPase family associated with various cellular activities (AAA)	617	735	1.9E-8	T	23-07-2025	IPR003959	ATPase, AAA-type, core
P11B_S7_bin.86.1_232	10cb85c833eb758eed76b9ea6592e885	454	SMART	SM00382	AAA_5	65	181	2.0E-15	T	23-07-2025	IPR003593	AAA+ ATPase domain
P11B_S7_bin.86.1_232	10cb85c833eb758eed76b9ea6592e885	454	Pfam	PF00004	ATPase family associated with various cellular activities (AAA)	69	176	6.6E-15	T	23-07-2025	IPR003959	ATPase, AAA-type, core
P11B_S7_bin.86.1_313	16e67d784ceeb064fccf73ca8f3939e5	363	SMART	SM00382	AAA_5	73	244	3.5E-8	T	23-07-2025	IPR003593	AAA+ ATPase domain
P11B_S7_bin.86.1_505	1c5df09bc64e433696abfc12f52cc7d0	499	SMART	SM00382	AAA_5	213	394	2.9E-6	T	23-07-2025	IPR003593	AAA+ ATPase domain
P11B_S7_bin.86.1_149	5a58fc3b21f33462ec5eeaea0ab8e90b	310	SMART	SM00382	AAA_5	109	288	9.4E-10	T	23-07-2025	IPR003593	AAA+ ATPase domain
P11B_S7_bin.86.1_233	b77bd777095b372a1256165d2dacd4dd	214	SMART	SM00382	AAA_5	7	180	1.4E-18	T	23-07-2025	IPR003593	AAA+ ATPase domain
P11B_S7_bin.86.1_36	9aebfb9bd13e1f175340a52c21965c63	435	SMART	SM00382	AAA_5	126	347	2.0E-10	T	23-07-2025	IPR003593	AAA+ ATPase domain
P11B_S7_bin.86.1_36	9aebfb9bd13e1f175340a52c21965c63	435	Pfam	PF00004	ATPase family associated with various cellular activities (AAA)	130	257	7.2E-16	T	23-07-2025	IPR003959	ATPase, AAA-type, core
P11B_S7_bin.86.1_440	50a9b8ddc0140ae731e532efccd7a1d1	752	Pfam	PF00004	ATPase family associated with various cellular activities (AAA)	212	344	1.9E-13	T	23-07-2025	IPR003959	ATPase, AAA-type, core
P11B_S7_bin.86.1_440	50a9b8ddc0140ae731e532efccd7a1d1	752	Pfam	PF00004	ATPase family associated with various cellular activities (AAA)	493	616	4.9E-12	T	23-07-2025	IPR003959	ATPase, AAA-type, core
P11B_S7_bin.86.1_440	50a9b8ddc0140ae731e532efccd7a1d1	752	SMART	SM00382	AAA_5	207	351	3.6E-12	T	23-07-2025	IPR003593	AAA+ ATPase domain
P11B_S7_bin.86.1_440	50a9b8ddc0140ae731e532efccd7a1d1	752	SMART	SM00382	AAA_5	488	637	5.6E-11	T	23-07-2025	IPR003593	AAA+ ATPase domain
P11B_S7_bin.86.1_109	56ef99e40b2686420f3bdc263db0c9fc	433	SMART	SM00382	AAA_5	111	313	3.7E-9	T	23-07-2025	IPR003593	AAA+ ATPase domain
