P13S_S20_bin.31.1_258	e5927d5df35912056308ff3d844a08a8	290	SMART	SM00382	AAA_5	62	255	1.5E-5	T	23-07-2025	IPR003593	AAA+ ATPase domain
P13S_S20_bin.31.1_190	af91862c2045000e716768fd23b2d3b5	367	SMART	SM00382	AAA_5	87	258	2.4E-12	T	23-07-2025	IPR003593	AAA+ ATPase domain
P13S_S20_bin.31.1_402	62902754643349acea405caf02bc2c9a	253	SMART	SM00382	AAA_5	26	215	1.8E-11	T	23-07-2025	IPR003593	AAA+ ATPase domain
P13S_S20_bin.31.1_368	eaf9a0b12e295f207bef18b05046df89	634	SMART	SM00382	AAA_5	42	240	4.9E-10	T	23-07-2025	IPR003593	AAA+ ATPase domain
P13S_S20_bin.31.1_368	eaf9a0b12e295f207bef18b05046df89	634	SMART	SM00382	AAA_5	346	525	3.7E-9	T	23-07-2025	IPR003593	AAA+ ATPase domain
P13S_S20_bin.31.1_176	726b8581d1c1e1ff3912d2d94a67f417	261	SMART	SM00382	AAA_5	37	234	0.0078	T	23-07-2025	IPR003593	AAA+ ATPase domain
P13S_S20_bin.31.1_16	016a17d60a26813410fe2217e9e7c2a1	413	SMART	SM00382	AAA_5	35	178	1.2E-6	T	23-07-2025	IPR003593	AAA+ ATPase domain
P13S_S20_bin.31.1_253	f1165ab04a422fa5670c14e3a773edef	840	Pfam	PF00004	ATPase family associated with various cellular activities (AAA)	573	691	1.3E-8	T	23-07-2025	IPR003959	ATPase, AAA-type, core
P13S_S20_bin.31.1_253	f1165ab04a422fa5670c14e3a773edef	840	Pfam	PF00004	ATPase family associated with various cellular activities (AAA)	236	356	1.5E-12	T	23-07-2025	IPR003959	ATPase, AAA-type, core
P13S_S20_bin.31.1_253	f1165ab04a422fa5670c14e3a773edef	840	SMART	SM00382	AAA_5	568	727	1.2E-11	T	23-07-2025	IPR003593	AAA+ ATPase domain
P13S_S20_bin.31.1_253	f1165ab04a422fa5670c14e3a773edef	840	SMART	SM00382	AAA_5	231	375	3.3E-12	T	23-07-2025	IPR003593	AAA+ ATPase domain
P13S_S20_bin.31.1_149	06152678c871fa2ad6af3e905eaf2b2d	435	Pfam	PF00004	ATPase family associated with various cellular activities (AAA)	140	270	5.7E-15	T	23-07-2025	IPR003959	ATPase, AAA-type, core
P13S_S20_bin.31.1_149	06152678c871fa2ad6af3e905eaf2b2d	435	SMART	SM00382	AAA_5	135	335	4.9E-8	T	23-07-2025	IPR003593	AAA+ ATPase domain
P13S_S20_bin.31.1_394	952241a67d43c735eb804298abf9efb9	466	Pfam	PF00004	ATPase family associated with various cellular activities (AAA)	100	229	6.4E-5	T	23-07-2025	IPR003959	ATPase, AAA-type, core
P13S_S20_bin.31.1_394	952241a67d43c735eb804298abf9efb9	466	SMART	SM00382	AAA_5	96	251	3.6E-10	T	23-07-2025	IPR003593	AAA+ ATPase domain
P13S_S20_bin.31.1_409	ed691ffb2b34e0f78300c376ad56c45f	564	SMART	SM00382	AAA_5	37	247	1.0E-10	T	23-07-2025	IPR003593	AAA+ ATPase domain
P13S_S20_bin.31.1_409	ed691ffb2b34e0f78300c376ad56c45f	564	SMART	SM00382	AAA_5	359	537	3.9E-10	T	23-07-2025	IPR003593	AAA+ ATPase domain
P13S_S20_bin.31.1_410	279f08319a204f2d8b592b94782c4f1c	560	SMART	SM00382	AAA_5	355	533	3.9E-10	T	23-07-2025	IPR003593	AAA+ ATPase domain
P13S_S20_bin.31.1_410	279f08319a204f2d8b592b94782c4f1c	560	SMART	SM00382	AAA_5	33	243	1.0E-10	T	23-07-2025	IPR003593	AAA+ ATPase domain
P13S_S20_bin.31.1_374	2c7acec5bd0b8efcbd7b8d2688cd18db	705	SMART	SM00382	AAA_5	457	642	6.9E-6	T	23-07-2025	IPR003593	AAA+ ATPase domain
P13S_S20_bin.31.1_284	b2cf0c4be8bed0db46fff03322f088af	523	SMART	SM00382	AAA_5	165	383	1.3E-5	T	23-07-2025	IPR003593	AAA+ ATPase domain
P13S_S20_bin.31.1_255	06cf2e446bdf3c889a68088a448eaee1	842	SMART	SM00382	AAA_5	569	728	1.2E-11	T	23-07-2025	IPR003593	AAA+ ATPase domain
P13S_S20_bin.31.1_255	06cf2e446bdf3c889a68088a448eaee1	842	SMART	SM00382	AAA_5	232	376	3.3E-12	T	23-07-2025	IPR003593	AAA+ ATPase domain
P13S_S20_bin.31.1_255	06cf2e446bdf3c889a68088a448eaee1	842	Pfam	PF00004	ATPase family associated with various cellular activities (AAA)	574	692	1.3E-8	T	23-07-2025	IPR003959	ATPase, AAA-type, core
P13S_S20_bin.31.1_255	06cf2e446bdf3c889a68088a448eaee1	842	Pfam	PF00004	ATPase family associated with various cellular activities (AAA)	237	357	1.5E-12	T	23-07-2025	IPR003959	ATPase, AAA-type, core
P13S_S20_bin.31.1_279	a9e9c7c6ef4349e85763193a83679cf0	334	SMART	SM00382	AAA_5	130	331	1.5E-10	T	23-07-2025	IPR003593	AAA+ ATPase domain
P13S_S20_bin.31.1_346	c7e2112ea3b929b6eb00ddd4a13acad0	322	SMART	SM00382	AAA_5	43	184	3.6E-4	T	23-07-2025	IPR003593	AAA+ ATPase domain
P13S_S20_bin.31.1_346	c7e2112ea3b929b6eb00ddd4a13acad0	322	Pfam	PF00004	ATPase family associated with various cellular activities (AAA)	47	178	1.3E-4	T	23-07-2025	IPR003959	ATPase, AAA-type, core
P13S_S20_bin.31.1_8	d8149a7f5b17792bbcc5fa0b6823059d	545	SMART	SM00382	AAA_5	352	518	1.7E-8	T	23-07-2025	IPR003593	AAA+ ATPase domain
P13S_S20_bin.31.1_8	d8149a7f5b17792bbcc5fa0b6823059d	545	SMART	SM00382	AAA_5	26	237	3.6E-9	T	23-07-2025	IPR003593	AAA+ ATPase domain
P13S_S20_bin.31.1_372	49e49604d5b9b8799be80dd7cc868d4d	428	Pfam	PF00004	ATPase family associated with various cellular activities (AAA)	49	156	4.3E-18	T	23-07-2025	IPR003959	ATPase, AAA-type, core
P13S_S20_bin.31.1_372	49e49604d5b9b8799be80dd7cc868d4d	428	SMART	SM00382	AAA_5	44	161	1.0E-16	T	23-07-2025	IPR003593	AAA+ ATPase domain
